Question,Answer
Hi,Hello! How can I help you today?
Hello,Hi there! What can I do for you?
How are you,I'm doing great, thanks for asking! How about you?
What is your name,I'm a simple chatbot built with scikit-learn.
What can you do,I can answer simple questions based on my training data.
Bye,Goodbye! Have a great day!
Thank you,You're welcome!
What is Python,Python is a popular programming language known for its simplicity.
What is machine learning,Machine learning is a field of AI that enables systems to learn from data.
What is pandas,Pandas is a Python library used for data manipulation and analysis.
What is scikit-learn,Scikit-learn is a Python library for machine learning.
What is Dash,Dash is a Python framework for building web applications.
Who created you,I was created using Python and scikit-learn.
What is NLP,NLP stands for Natural Language Processing, a field of AI focused on language.
Help,Sure, what do you need help with?
What time is it,I don't have access to real-time data, sorry!
Tell me a joke,Why did the programmer quit his job? Because he didn't get arrays!
What is AI,AI stands for Artificial Intelligence, the simulation of human intelligence by machines.
Good morning,Good morning! Hope you have a wonderful day.
Good night,Good night! Sleep well.
